Episode,Timestep,State,Action,Reward,Next State
1,0,"[ 0.99667145  0.99941547 -0.0815231  -0.03418665  0.14498056  0.04998818
  0.00413971 -0.00278099  0.06394979 -0.0708508 ]",[0.10572705 0.01363249],-0.10616966954561477,"[ 0.99701109  0.99943192 -0.07725863 -0.03370209  0.14498056  0.04998818
  0.42226606  0.051086    0.06404301 -0.0699042 ]"
1,1,"[ 0.99701109  0.99943192 -0.07725863 -0.03370209  0.14498056  0.04998818
  0.42226606  0.051086    0.06404301 -0.0699042 ]",[0.08262706 0.05157286],-0.1024426823879112,"[ 0.99784282  0.99953035 -0.06564834 -0.03064452  0.14498056  0.04998818
  0.74068514  0.25415364  0.06429356 -0.06713493]"
1,2,"[ 0.99784282  0.99953035 -0.06564834 -0.03064452  0.14498056  0.04998818
  0.74068514  0.25415364  0.06429356 -0.06713493]",[0.1451551 0.0118506],-0.11095657460197755,"[ 0.99897558  0.9996838  -0.04525249 -0.02514553  0.14498056  0.04998818
  1.30021579  0.29582203  0.06464437 -0.06225331]"
1,3,"[ 0.99897558  0.9996838  -0.04525249 -0.02514553  0.14498056  0.04998818
  1.30021579  0.29582203  0.06464437 -0.06225331]",[0.05955289 0.1951674 ],-0.12666318231013285,"[ 0.99985275  0.99993344 -0.01716028 -0.01153755  0.14498056  0.04998818
  1.50976953  1.0626597   0.0649594  -0.05486119]"
1,4,"[ 0.99985275  0.99993344 -0.01716028 -0.01153755  0.14498056  0.04998818
  1.50976953  1.0626597   0.0649594  -0.05486119]",[-0.0581136   0.05239173],-0.08604600595475598,"[ 0.99994563  0.99993287  0.01042724  0.01158648  0.14498056  0.04998818
  1.24995103  1.24917344  0.06498735 -0.04652395]"
1,5,"[ 0.99994563  0.99993287  0.01042724  0.01158648  0.14498056  0.04998818
  1.24995103  1.24917344  0.06498735 -0.04652395]",[ 0.07318252 -0.03478339],-0.08163857592849216,"[ 0.99927491  0.99938969  0.03807441  0.03493205  0.14498056  0.04998818
  1.51478553  1.08660964  0.06465379 -0.03815553]"
1,6,"[ 0.99927491  0.99938969  0.03807441  0.03493205  0.14498056  0.04998818
  1.51478553  1.08660964  0.06465379 -0.03815553]",[-0.01725408 -0.01707485],-0.0711241449686778,"[ 0.99772986  0.99844484  0.06734328  0.05574863  0.14498056  0.04998818
  1.41660844  0.99752692  0.06395905 -0.02973906]"
1,7,"[ 0.99772986  0.99844484  0.06734328  0.05574863  0.14498056  0.04998818
  1.41660844  0.99752692  0.06395905 -0.02973906]",[0.05086669 0.07750387],-0.07485107651520868,"[ 0.99525424  0.99691196  0.09730883  0.07852735  0.14498056  0.04998818
  1.58969283  1.28458989  0.06284425 -0.02098964]"
1,8,"[ 0.99525424  0.99691196  0.09730883  0.07852735  0.14498056  0.04998818
  1.58969283  1.28458989  0.06284425 -0.02098964]",[-0.03066568  0.14630236],-0.08450706085969678,"[ 0.99185461  0.9939717   0.12737518  0.10963692  0.14498056  0.04998818
  1.4367274   1.83851124  0.06111508 -0.01136214]"
1,9,"[ 0.99185461  0.9939717   0.12737518  0.10963692  0.14498056  0.04998818
  1.4367274   1.83851124  0.06111508 -0.01136214]",[0.05257738 0.12633386],-0.07727115776791427,"[ 9.87503547e-01  9.88578837e-01  1.57596781e-01  1.50704622e-01
  1.44980561e-01  4.99881781e-02  1.61611645e+00  2.30226708e+00
  5.85420958e-02 -7.20854669e-04]"
1,10,"[ 9.87503547e-01  9.88578837e-01  1.57596781e-01  1.50704622e-01
  1.44980561e-01  4.99881781e-02  1.61611645e+00  2.30226708e+00
  5.85420958e-02 -7.20854669e-04]",[-0.03001397  0.14723608],-0.07853575977020291,"[0.98218041 0.97952279 0.18794053 0.20133334 0.14498056 0.04998818
 1.46522189 2.83973568 0.05490277 0.01080792]"
1,11,"[0.98218041 0.97952279 0.18794053 0.20133334 0.14498056 0.04998818
 1.46522189 2.83973568 0.05490277 0.01080792]",[0.0509413  0.11093265],-0.06992814141838267,"[0.97587583 0.96552179 0.21832629 0.26032226 0.14498056 0.04998818
 1.63762344 3.22268973 0.05000052 0.02297666]"
1,12,"[0.97587583 0.96552179 0.21832629 0.26032226 0.14498056 0.04998818
 1.63762344 3.22268973 0.05000052 0.02297666]",[ 0.00861619 -0.02523241],-0.057001848448518744,"[0.96819853 0.9472774  0.25018315 0.32041461 0.14498056 0.04998818
 1.63940645 3.05897401 0.04390818 0.03522416]"
1,13,"[0.96819853 0.9472774  0.25018315 0.32041461 0.14498056 0.04998818
 1.63940645 3.05897401 0.04390818 0.03522416]",[-0.05350783  0.127719  ],-0.07869855953553925,"[0.96016421 0.92421793 0.27943637 0.38186545 0.14498056 0.04998818
 1.39517173 3.50421494 0.03691222 0.04669599]"
1,14,"[0.96016421 0.92421793 0.27943637 0.38186545 0.14498056 0.04998818
 1.39517173 3.50421494 0.03691222 0.04669599]",[-0.04440581  0.05183514],-0.06881242854609754,"[0.95261657 0.89459952 0.30417376 0.44686878 0.14498056 0.04998818
 1.19189958 3.64015765 0.02907235 0.05718822]"
1,15,"[0.95261657 0.89459952 0.30417376 0.44686878 0.14498056 0.04998818
 1.19189958 3.64015765 0.02907235 0.05718822]",[-0.0912595  -0.00505638],-0.0776261678273175,"[0.94634943 0.86019584 0.32314509 0.50996384 0.14498056 0.04998818
 0.80738157 3.54821028 0.02107205 0.06598955]"
1,16,"[0.94634943 0.86019584 0.32314509 0.50996384 0.14498056 0.04998818
 0.80738157 3.54821028 0.02107205 0.06598955]",[-0.02600152 -0.03566448],-0.07623813896801666,"[0.94141064 0.82307856 0.33726253 0.56792753 0.14498056 0.04998818
 0.68866625 3.33678956 0.01332493 0.07308533]"
1,17,"[0.94141064 0.82307856 0.33726253 0.56792753 0.14498056 0.04998818
 0.68866625 3.33678956 0.01332493 0.07308533]",[-0.02746252  0.18150672],-0.11329098463417207,"[0.93710582 0.77928646 0.3490454  0.62666786 0.14498056 0.04998818
 0.566216   3.98945825 0.00499943 0.07943494]"
1,18,"[0.93710582 0.77928646 0.3490454  0.62666786 0.14498056 0.04998818
 0.566216   3.98945825 0.00499943 0.07943494]",[0.06167523 0.02950029],-0.09036493518448672,"[ 0.93225039  0.72659878  0.36181379  0.68706201  0.14498056  0.04998818
  0.79906394  4.02720241 -0.00458919  0.08556786]"
1,19,"[ 0.93225039  0.72659878  0.36181379  0.68706201  0.14498056  0.04998818
  0.79906394  4.02720241 -0.00458919  0.08556786]",[-0.087409    0.06579448],-0.10387697865063557,"[ 0.92770984  0.66761401  0.3733021   0.74450758  0.14498056  0.04998818
  0.43745292  4.20810882 -0.01465287  0.09073216]"
1,20,"[ 0.92770984  0.66761401  0.3733021   0.74450758  0.14498056  0.04998818
  0.43745292  4.20810882 -0.01465287  0.09073216]",[ 0.04759742 -0.01295587],-0.10039850121130389,"[ 0.92371887  0.60374321  0.38307107  0.79717886  0.14498056  0.04998818
  0.61722945  4.07343968 -0.02485421  0.09475988]"
1,21,"[ 0.92371887  0.60374321  0.38307107  0.79717886  0.14498056  0.04998818
  0.61722945  4.07343968 -0.02485421  0.09475988]",[-0.00217772  0.0217673 ],-0.10468398998850392,"[ 0.91900186  0.5368204   0.3942532   0.84369654  0.14498056  0.04998818
  0.59647973  4.07898845 -0.03540241  0.09800735]"
1,22,"[ 0.91900186  0.5368204   0.3942532   0.84369654  0.14498056  0.04998818
  0.59647973  4.07898845 -0.03540241  0.09800735]",[ 0.00110118 -0.02102082],-0.11070914498190357,"[ 0.91426303  0.4677377   0.4051211   0.88386732  0.14498056  0.04998818
  0.58916313  3.91500087 -0.04590252  0.10025748]"
